Term,OriginalReadCode
Subsequent STEMI (ST elevation myocardial infarction),^ESCTSU757229
Acute myocardial infarction during procedure,^ESCTAC757230
Acute ST segment elevation myocardial infarction of inferior wall,^ESCTAC757232
Acute STEMI (ST elevation myocardial infarction) of inferior wall,^ESCTAC757233
Acute inferior ST segment elevation myocardial infarction,^ESCTAC757234
Acute myocardial infarction of anterior wall involving right ventricle,^ESCTAC757286
Acute ST segment elevation myocardial infarction of inferior wall involving right ventricle,^ESCTAC757288
Acute STEMI (ST elevation myocardial infarction) of inferior wall with right ventricular involvement,^ESCTAC757290
Mitral valve regurgitation due to acute myocardial infarction,^ESCTMI757404
Mitral valve regurgitation due to acute myocardial infarction without papillary muscle and chordal rupture,^ESCTMI757408
Mitral valve regurgitation due to acute myocardial infarction with papillary muscle and chordal rupture,^ESCTMI757410
Subsequent non-ST segment elevation myocardial infarction,^ESCTSU757448
Subsequent NSTEMI (non-ST segment elevation myocardial infarction),^ESCTSU757449
Inducible ischaemia manifest on stress test post myocardial infarction,^ESCTIN766287
Ventricular aneurysm as current complication following acute myocardial infarction,^ESCTVE784850
Pulmonary embolism as current complication following acute myocardial infarction,^ESCTPU784852
Arrhythmia as current complication following acute myocardial infarction,^ESCTAR784854
Acute myocardial infarction due to left coronary artery occlusion,^ESCTAC800426
Acute myocardial infarction due to right coronary artery occlusion,^ESCTAC801104
Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery,^ESCTAC808775
Acute ST segment elevation myocardial infarction of posterolateral wall,^ESCTAC984395
Acute ST segment elevation myocardial infarction of anterolateral wall,^ESCTAC984396
Acute ST segment elevation myocardial infarction of lateral wall,^ESCTAC984398
Acute ST segment elevation myocardial infarction of anteroseptal wall,^ESCTAC984399
Acute ST segment elevation myocardial infarction of posterior wall,^ESCTAC984401
Acute ST segment elevation myocardial infarction due to left coronary artery occlusion,^ESCTAC984402
Acute ST segment elevation myocardial infarction due to right coronary artery occlusion,^ESCTAC984405
Acute ST segment elevation myocardial infarction of septum,^ESCTAC984407
Mural thrombus of left ventricle following acute myocardial infarction,^ESCTMU986857
Acute ST segment elevation myocardial infarction of inferolateral wall,^ESCT1212233
Acute ST segment elevation myocardial infarction of inferoposterior wall,^ESCT1212234
Delayed postmyocardial infarction pericarditis,^ESCT1393003
Acute myocardial infarction of right ventricle,^ESCT1393516
Acute myocardial infarction of apex of heart,^ESCT1393519
Acute apical myocardial infarction of heart,^ESCT1393520
Acute myocardial infarction of inferolateral wall with posterior extension,^ESCT1393521
