Term,OriginalReadCode
Closed fracture dislocation of wrist,S4C0
Open fracture dislocation wrist,S4C1
Sequelae of fracture at wrist and hand level,SC3C0
[X]Fracture of other carpal bone(s),Syu63
Fracture of lower end of radius,S23B
Fracture of lower end of both ulna and radius,S23C
Closed Colles' fracture,S2341
Closed fracture of distal end of radius,S2342
Open fracture of distal end of radius,S2352
Open Barton's fracture,S235F
Closed Barton's fracture,S234F
"Closed fracture of radius and ulna, lower end",S234
"Open fracture of radius and ulna, lower end",S235
Closed fracture of carpal bone,S240
Closed fracture triquetral,S2403
Open fracture hamate,S2418
Closed fracture trapezoid,S2406
Closed fracture hamate,S2408
Closed fracture lunate,S2402
"Closed fracture of ulna, styloid process",S2343
Open fracture trapezoid,S2416
Closed fracture of the scaphoid,S2401
Closed fracture pisiform,S2404
Open fracture capitate,S2417
Open fracture lunate,S2412
Closed fracture trapezium,S2405
Open fracture trapezium,S2415
Open fracture of the scaphoid,S2411
Open fracture triquetral,S2413
Hand fracture - carpal bone,S24-1
Open fracture pisiform,S2414
Closed fracture capitate,S2407
"Closed fracture radius and ulna, distal",S2346
Wrist fracture - open,S235-1
"Open fracture radius and ulna, distal",S2356
Fracture of lower end of radius with dorsal tilt,^ESCT1167569
Fracture of lower end of radius with volar tilt,^ESCT1167570
Open volar Barton fracture-dislocation,S2359-1
Open volar Barton fracture-subluxation,S2359-2
Open Smith's fracture,S2357
Closed fracture of wrist,S234-1
Open fracture-subluxation peri-lunate trans-scaphoid,S4C36
Open fracture-subluxation radiocarpal joint,S4C31
"Open fracture-subluxation, distal radio-ulnar joint",S4C30
Open fracture-dislocation other carpal,S4C1y
Open fracture-dislocation peri-lunate (dorsal),S4C15
Open fracture-dislocation peri-lunate trans-scaphoid,S4C16
Open fracture-dislocation radiocarpal joint,S4C11
"Open fracture-dislocation, distal radio-ulnar joint",S4C10
Open fracture-subluxation of the wrist,S4C3
Open fracture-subluxation other carpal,S4C3y
Open fracture-dislocation lunate (volar),S4C14
Open fracture-dislocation mid carpal,S4C12
Open dorsal Barton's fracture-dislocation,S235A-1
Open dorsal Barton's fracture-subluxation,S235A-2
Fracture at wrist and/or hand level,Syu65
Closed dorsal Barton's fracture,S234A
Closed dorsal Barton fracture-subluxation,S234A-2
Closed dorsal Barton's fracture-dislocation,S234A-1
Closed fracture dislocation distal radioulnar joint,S4C00
Closed fracture-dislocation lunate (volar),S4C04
Closed fracture-dislocation mid carpal,S4C02
Closed fracture-dislocation other carpal,S4C0y
Closed fracture-dislocation peri-lunate (dorsal),S4C05
Closed fracture-dislocation peri-lunate trans-scaphoid,S4C06
Closed fracture-dislocation radiocarpal joint,S4C01
Closed fracture-subluxation lunate (volar),S4C24
Closed fracture-subluxation mid carpal,S4C22
Closed fracture subluxation of the wrist,S4C2
Closed fracture-subluxation other carpal,S4C2y
Closed fracture-subluxation peri-lunate (dorsal),S4C25
Closed fracture-subluxation peri-lunate trans-scaphoid,S4C26
Closed fracture-subluxation radiocarpal joint,S4C21
"Closed fracture-subluxation, distal radio-ulnar jt",S4C20
Closed volar Barton fracture-subluxation,S2349-2
Closed volar Barton's fracture-dislocation,S2349-1
Fracture of scaphoid bone of wrist,S2420
Fracture dislocation or subluxation of wrist,S4C
#Radius/ulna-lower end-colles,S2341-98
Colles fracture,S2341-99
Fracture of distal end of ulna,S2345-99
#Bennett's fracture,S2501-99
Greenstick fracture of distal radius,S234G
Closed fracture of trapezoidal bone of wrist,^ESCTCL250422
Fracture of lunate bone of wrist,^ESCTFR253074
Fracture of lunate,^ESCTFR253076
Fracture of triquetral bone of wrist,^ESCTFR262068
Fracture of triquetral,^ESCTFR262070
Fracture of triquetrum,^ESCTFR262071
Open fracture of triquetral bone of wrist,^ESCTOP262611
Closed fracture of carpal bone of wrist,^ESCTCL265096
Fracture of trapezoidal bone of wrist,^ESCTFR273648
Fracture of trapezoid,^ESCTFR273650
Closed fracture of lower end of radius,^ESCTCL277320
Closed fracture of triquetral bone of wrist,^ESCTCL299359
Fracture of navicular bone of wrist,^ESCTFR301489
Fracture of scaphoid bone,^ESCTFR301491
